pci_intrs:904:config:cpu	932
pci_intrs:904:config:name	ixgbe9
pci_intrs:904:config:pil	6
pci_intrs:904:config:type	msix
pci_intrs:905:config:cpu	937
pci_intrs:905:config:name	ixgbe9
pci_intrs:905:config:pil	6
pci_intrs:905:config:type	msix
pci_intrs:906:config:cpu	947
pci_intrs:906:config:name	ixgbe9
pci_intrs:906:config:pil	6
pci_intrs:906:config:type	msix
pci_intrs:910:config:cpu	57
pci_intrs:910:config:name	mpt_sas0
pci_intrs:910:config:pil	5
pci_intrs:910:config:type	msix
pci_intrs:914:config:cpu	73
pci_intrs:914:config:name	mpt_sas0
pci_intrs:914:config:pil	5
pci_intrs:914:config:type	msix
pci_intrs:917:config:cpu	953
pci_intrs:917:config:name	pcieb53
