pci_intrs:125:config:name	nxge10
pci_intrs:125:config:pil	6
pci_intrs:125:config:type	msix
pci_intrs:126:config:cpu	154
pci_intrs:126:config:name	nxge10
pci_intrs:126:config:pil	6
pci_intrs:126:config:type	msix
pci_intrs:127:config:cpu	95
pci_intrs:127:config:name	nxge4
pci_intrs:127:config:pil	6
pci_intrs:127:config:type	msix
pci_intrs:128:config:cpu	96
pci_intrs:128:config:name	nxge4
pci_intrs:128:config:pil	6
pci_intrs:128:config:type	msix
pci_intrs:129:config:cpu	97
pci_intrs:129:config:name	nxge4
pci_intrs:129:config:pil	6
pci_intrs:129:config:type	msix
pci_intrs:130:config:cpu	98
pci_intrs:130:config:name	nxge4
pci_intrs:130:config:pil	6
pci_intrs:130:config:type	msix
pci_intrs:131:config:cpu	99
pci_intrs:131:config:name	nxge4
pci_intrs:131:config:pil	6
pci_intrs:131:config:type	msix
pci_intrs:132:config:cpu	100
pci_intrs:132:config:name	nxge4
pci_intrs:132:config:pil	6
pci_intrs:132:config:type	msix
pci_intrs:133:config:cpu	101
pci_intrs:133:config:name	nxge4
pci_intrs:133:config:pil	6
pci_intrs:133:config:type	msix
pci_intrs:134:config:cpu	102
pci_intrs:134:config:name	nxge4
pci_intrs:134:config:pil	6
pci_intrs:134:config:type	msix
